paper_id,t_start,t_end,anomaly_score,prediction,is_synthetic
53e99a5cb7602d97022c6f4b,1959,1964,-0.001400515107368383,-1,False
53e9b35ab7602d9703e3552e,1959,1964,0.08494339249656235,1,False
53e99b1bb7602d97023affe7,1959,1964,0.1120873875765363,1,False
53e9a19bb7602d9702a90860,1959,1964,0.06960786384630435,1,False
53e9a6cab7602d9702ffecaa,1959,1964,0.10530727491431152,1,False
53e9ae22b7602d9703836680,1959,1964,0.16680391874720096,1,False
53e9ae49b7602d97038601ea,1959,1964,0.16680391874720096,1,False
53e9bc8fb7602d9704910999,1959,1964,0.12083647277291726,1,False
53e9a5f6b7602d9702f22648,1959,1964,0.08240809495227297,1,False
558acd9e84ae84d265bfb994,1959,1964,0.014160763863391823,1,False
53e99a5cb7602d97022c6f4b,1964,1969,-0.0037548034926614404,-1,False
53e9b35ab7602d9703e3552e,1964,1969,0.04831654469793867,1,False
53e99b1bb7602d97023affe7,1964,1969,0.09256770630492284,1,False
53e9a19bb7602d9702a90860,1964,1969,0.1691134482226092,1,False
53e9a6cab7602d9702ffecaa,1964,1969,0.05847263192453567,1,False
53e9ae22b7602d9703836680,1964,1969,0.13158212155393512,1,False
53e9ae49b7602d97038601ea,1964,1969,0.13158212155393512,1,False
53e9bc8fb7602d9704910999,1964,1969,0.0930506409038257,1,False
53e9a5f6b7602d9702f22648,1964,1969,0.16650671132641354,1,False
558acd9e84ae84d265bfb994,1964,1969,0.0076233889093429985,1,False
53e997e9b7602d9701fe2ce7,1964,1969,0.08707467098957838,1,False
53e9b373b7602d9703e51128,1964,1969,0.12814905478824068,1,False
53e99b10b7602d97023a35b7,1964,1969,0.1744657872687047,1,False
53e9b8d4b7602d97044b1ced,1964,1969,0.06234489667652143,1,False
53e99b5eb7602d9702404c0c,1964,1969,0.027398497945492206,1,False
53e99cb5b7602d970256bbef,1964,1969,0.09256770630492284,1,False
53e99ef4b7602d97027c2dfc,1964,1969,0.08290458207665702,1,False
53e9a108b7602d97029f701d,1964,1969,0.07233118149336915,1,False
53e9a281b7602d9702b85243,1964,1969,0.11302101933987008,1,False
53e9ac83b7602d970365aea3,1964,1969,0.12856978790855994,1,False
53e9ae84b7602d97038a1d1b,1964,1969,0.10432643713356415,1,False
53e99813b7602d970202c626,1964,1969,0.1160197383636481,1,False
53e99a2bb7602d97022854c4,1964,1969,0.13727060875283548,1,False
53e99a57b7602d97022bf9e8,1964,1969,0.13416266400169635,1,False
53e9a1f3b7602d9702af394d,1964,1969,0.08552712795328266,1,False
53e9ab1ab7602d970349e366,1964,1969,0.11609031088580657,1,False
53e9b3efb7602d9703ee0bb6,1964,1969,0.09336577736308999,1,False
53e9b8efb7602d97044d575a,1964,1969,0.10585686576177211,1,False
53e9b962b7602d97045507b3,1964,1969,0.07555430850883621,1,False
558aba34e4b0b32fcb388100,1964,1969,0.12584096899588132,1,False
53e9a0cab7602d97029b2f41,1964,1969,0.10247547763792042,1,False
